[2026-03-12 03:48:35,916][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/Alibaba-DAMO-Academy/RynnBrain-2B/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-03-12 03:48:36,282][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-12 03:48:36,687][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-03-12 03:48:36,688][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-12 03:48:37,077][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/chat_template.jinja "HTTP/1.1 307 Temporary Redirect"
[2026-03-12 03:48:37,370][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Alibaba-DAMO-Academy/RynnBrain-2B/03256cf02fe39a14700d3ea015b3fd950bc4db30/chat_template.jinja "HTTP/1.1 200 OK"
[2026-03-12 03:48:37,777][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-03-12 03:48:38,142][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-12 03:48:38,501][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-12 03:48:38,847][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Alibaba-DAMO-Academy/RynnBrain-2B/03256cf02fe39a14700d3ea015b3fd950bc4db30/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-12 03:48:39,246][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/Alibaba-DAMO-Academy/RynnBrain-2B/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
